"Consequent","Antecedent","ItemSetSupport","RelativeItemSetSupport%","RuleConfidence%","AbsoluteBodySetSupport","RelativeBodySetSupport%","RuleLift","RuleLift%","AbsoluteHeadItemSupport","RelativeHeadItemSupport%"
"DGK-0TH-PP1U-01","1859008-4",1,0.02584,0.775,129,3.33,30,3000,1,0.02584
"DGK-PKT-2018Q3-BHIN2","6-219590-2",2,0.05168,0.8,250,6.46,15.48,1548,2,0.05168
"DGK-PKT-AMP-CABLE-004","1427071-6",2,0.05168,0.719,278,7.18,13.921,1392.1,2,0.05168
"DGK-PKT-AMP-CABLE-004","6-554720-5-PACK",2,0.05168,0.98,204,5.27,18.971,1897.1,2,0.05168
"DGK-PKT-AMP-CAT6-PP24-07","1859008-4",1,0.02584,0.775,129,3.33,30,3000,1,0.02584
"2843022-6-PACK","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,17.2,1720,2,0.05168
"2105032-1","1859008-4",1,0.02584,0.775,129,3.33,15,1500,2,0.05168
"4-1206138-4","1859008-4",1,0.02584,0.775,129,3.33,30,3000,1,0.02584
"DGK-PKT-AMP-CABLE-009","6-219590-2",4,0.10336,1.6,250,6.46,15.48,1548,4,0.10336
"DGK-PKT-AMP-CABLE-009","6-554720-5-PACK",4,0.10336,1.96,204,5.27,18.971,1897.1,4,0.10336
"DGK-PKT-AMP-CABLE-003","6-219590-2",4,0.10336,1.6,250,6.46,15.48,1548,4,0.10336
"DGK-PKT-AMP-CABLE-003","6-554720-5-PACK",4,0.10336,1.96,204,5.27,18.971,1897.1,4,0.10336
"2105026-2","1859008-4",1,0.02584,0.775,129,3.33,7.5,750,4,0.10336
"DGK-PKT-AMP-CABLE-008","6-219590-2",5,0.1292,2,250,6.46,15.48,1548,5,0.1292
"DGK-PKT-AMP-CABLE-008","6-554720-5-PACK",5,0.1292,2.45,204,5.27,18.971,1897.1,5,0.1292
"2-1859420-3","1859008-4",1,0.02584,0.775,129,3.33,15,1500,2,0.05168
"1479155-2","1859008-4",1,0.02584,0.775,129,3.33,2.3077,230.77,13,0.33592
"2843032-3-PACK","6-2111979-3-PACK",4,0.10336,1.78,225,5.81,13.76,1376,5,0.1292
"1375055-2","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859532-2","6-554720-5-PACK",2,0.05168,0.98,204,5.27,7.5882,758.82,5,0.1292
"1859532-2","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"1859532-2","1933796-2",2,0.05168,1.18,169,4.37,9.1598,915.98,5,0.1292
"1859532-2","1859049-1",2,0.05168,1.1,182,4.7,8.5055,850.55,5,0.1292
"1859532-2","1859050-1",2,0.05168,1.32,151,3.9,10.252,1025.2,5,0.1292
"1859532-2","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"DGK-PKT-AMP-CABLE-001","1427071-6",7,0.18088,2.52,278,7.18,13.921,1392.1,7,0.18088
"DGK-PKT-AMP-CABLE-001","6-554720-5-PACK",7,0.18088,3.43,204,5.27,18.971,1897.1,7,0.18088
"DGK-PKT-AMP-CABLE-001","1859008-4",1,0.02584,0.775,129,3.33,4.2857,428.57,7,0.18088
"DGK-PKT-AMP-CABLE-005","6-219590-2",5,0.1292,2,250,6.46,15.48,1548,5,0.1292
"DGK-PKT-AMP-CABLE-005","6-554720-5-PACK",5,0.1292,2.45,204,5.27,18.971,1897.1,5,0.1292
"1859534-2","6-554720-5-PACK",2,0.05168,0.98,204,5.27,9.4853,948.53,4,0.10336
"1859534-2","1933748-6",2,0.05168,1.39,144,3.72,13.438,1343.8,4,0.10336
"1859534-2","1933796-2",2,0.05168,1.18,169,4.37,11.45,1145,4,0.10336
"1859534-2","1859049-1",2,0.05168,1.1,182,4.7,10.632,1063.2,4,0.10336
"1859534-2","1859050-1",3,0.077519,1.99,151,3.9,19.222,1922.2,4,0.10336
"1859534-2","1427632-2",2,0.05168,0.823,243,6.28,7.963,796.3,4,0.10336
"1435516-2","1427632-2",2,0.05168,0.823,243,6.28,15.926,1592.6,2,0.05168
"DGK-PKT-AMP-CABLE-010","1427071-6",8,0.20672,2.88,278,7.18,13.921,1392.1,8,0.20672
"DGK-PKT-AMP-CABLE-010","6-2111979-3-PACK",8,0.20672,3.56,225,5.81,17.2,1720,8,0.20672
"1859532-3","6-554720-5-PACK",2,0.05168,0.98,204,5.27,7.5882,758.82,5,0.1292
"1859532-3","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"1859532-3","1933796-2",3,0.077519,1.78,169,4.37,13.74,1374,5,0.1292
"1859532-3","1859049-1",2,0.05168,1.1,182,4.7,8.5055,850.55,5,0.1292
"1859532-3","1859050-1",3,0.077519,1.99,151,3.9,15.377,1537.7,5,0.1292
"1859532-3","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859082-1","1859008-4",1,0.02584,0.775,129,3.33,6,600,5,0.1292
"1859082-1","1859008-7",2,0.05168,1.32,152,3.93,10.184,1018.4,5,0.1292
"1859082-1","1-1859008-0",2,0.05168,1.34,149,3.85,10.389,1038.9,5,0.1292
"1859082-1","1427632-2",3,0.077519,1.23,243,6.28,9.5556,955.56,5,0.1292
"2-1671000-8","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"2-1671000-8","6-2111979-3-PACK",3,0.077519,1.33,225,5.81,10.32,1032,5,0.1292
"2-1671000-8","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"EH1457-002","1427632-2",2,0.05168,0.823,243,6.28,15.926,1592.6,2,0.05168
"1859081-1","1933796-2",2,0.05168,1.18,169,4.37,9.1598,915.98,5,0.1292
"1859081-1","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859168-1","1933796-2",2,0.05168,1.18,169,4.37,3.8166,381.66,12,0.31008
"1859168-1","1427632-2",2,0.05168,0.823,243,6.28,2.6543,265.43,12,0.31008
"1933307-1","1859008-4",1,0.02584,0.775,129,3.33,3.3333,333.33,9,0.23256
