DocNumber,Items
SSINV-001-0067409,"6-219590-2,1427071-6"
SSINV-001-0067410,1933796-2
SSINV-001-0067411,1859532-2
SSINV-001-0067412,"1-1859239-0,1427632-2,1479154-2,1859010-4"
SSINV-001-0067413,AT-AR4050S
SSINV-001-0067414,AT-AR4050S
SSINV-001-0067415,4-1427431-3
SSINV-001-0067416,"1206138-8,2-5502776-6,2105031-3"
SSINV-001-0067417,4-1427431-3
SSINV-001-0067418,"1206138-8,2-5502776-6,1427632-2,2105031-3"
SSINV-001-0067419,AT-MC103XL
SSINV-001-0067422,AT-MC101XL
SSINV-001-0067423,AT-8000S/24
SSINV-001-0067424,AT-TRAY4
SSINV-001-0067425,BPL-ONE-LC-5WAN
SSINV-001-0067426,1933748-6
SSINV-001-0067427,"AT-GS950/16PS,AT-SPBD10-13,AT-SPBD10-14"
SSINV-001-0067428,AT-GS910/24
SSINV-001-0067429,1859010-7
SSINV-001-0067430,"AT-SPSX,AT-SPLX10"
SSINV-001-0067431,1427632-2
SSINV-001-0067432,1-1859218-2
SSINV-001-0067433,"1933796-2,1427632-2,1933748-6,1859049-1,1859008-4"
SSINV-001-0067434,"AT-MC102XL,AT-GS910/24"
SSINV-001-0067435,AT-MC102XL
SSINV-001-0067436,F5DSTSC2A
SSINV-001-0067437,AT-GS910/24
SSINV-001-0067438,AT-MC102XL
SSINV-001-0067439,1427071-6
SSINV-001-0067440,AT-GS950/24
SSINV-001-0067441,790163-1
SSINV-001-0067443,AT-MC102XL
SSINV-001-0067444,AT-SPFX/2
SSINV-001-0067445,790163-1
SSINV-001-0067446,"AT-GS910/16,AT-GS910/24"
SSINV-001-0067447,790163-1
SSINV-001-0067448,1479738-1
SSINV-001-0067449,1375191-1
SSINV-001-0067450,"1859049-1,1859050-1"
SSINV-001-0067451,"AT-X510-28GPX-N1,AT-SP10TW1"
SSINV-001-0067452,CE28511FE1 (EX)
SSINV-001-0067454,"AT-MMC2000/SP,AT-MC103XL"
SSINV-001-0067455,AT-SPSX
SSINV-001-0067456,1859008-4
SSINV-001-0067457,1427071-6
SSINV-001-0067459,"6-2111979-3-PACK,9-737893-4-PACK"
SSINV-001-0067460,1427071-6
SSINV-001-0067461,"AT-GS950/24,AT-GS910/24,AT-MC101XL,AT-GS950/8"
SSINV-001-0067462,AT-GS910/24
SSINV-001-0067463,1427071-6
SSINV-001-0067464,AT-MC102XL
SSINV-001-0067465,AT-GS910/24
SSINV-001-0067466,1479738-1
SSINV-001-0067467,AT-MCR12
SSINV-001-0067468,790163-1
SSINV-001-0067469,AT-MMC2000/SP
SSINV-001-0067470,AT-MMC2000/SP
SSINV-001-0067471,1427632-2
SSINV-001-0067472,AT-GS910/24
SSINV-001-0067473,A-DQ (ZN) (SR)2Y 2X6 E9
SSINV-001-0067474,AT-GS910/24
SSINV-001-0067475,1427071-6
SSINV-001-0067476,"1427632-2,1479154-2,1933796-2,1859239-4,1859239-7,1859008-4,1859008-7"
SSINV-001-0067477,"1427071-6,6-219590-2"
SSINV-001-0067478,6-219590-2
SSINV-001-0067479,AT-MC103XL
SSINV-001-0067480,790163-1
SSINV-001-0067481,1933748-1
SSINV-001-0067482,790163-1
SSINV-001-0067483,1479738-1
SSINV-001-0067484,AT-GS950/16
SSINV-001-0067485,9-737893-4-PACK
SSINV-001-0067486,"3-231652-0,6-569278-3-PACK"
SSINV-001-0067487,1-1859010-0
SSINV-001-0067488,1933308-1
SSINV-001-0067490,1933796-2
SSINV-001-0067491,AT-GS910/24
SSINV-001-0067492,AT-FSW708
SSINV-001-0067493,"AT-GS950/16,AT-SPSX"
SSINV-001-0067494,"1933797-2,1427632-2"
SSINV-001-0067495,AT-8000S/16
SSINV-001-0067496,1933796-2
SSINV-001-0067497,AT-GS924M
SSINV-001-0067498,790163-1
SSINV-001-0067499,AT-GS910/16
SSINV-001-0067500,1-1859010-0
SSINV-001-0067501,1-1859010-0
SSINV-001-0067502,1-1859012-0
SSINV-001-0067503,1-1859012-0
SSINV-001-0067504,"2105027-1,2105028-1"
SSINV-001-0067505,"AT-SPLX10,AT-SPSX"
SSINV-001-0067506,1427071-6
SSINV-001-0067507,1711716-1
SSINV-001-0067508,"1-1859008-0,1-1859008-0"
SSINV-001-0067509,6-554720-5-PACK
SSINV-001-0067510,1427071-6
SSINV-001-0067511,4-1427439-4
SSINV-001-0067512,"84751-1,657054-000-PACK,1671000-8,1671281-1,6457567-4,2105004-2,2105028-3,1435021-1"
SSINV-001-0067513,AT-FSW708
SSINV-001-0067514,AT-SPLX10
SSINV-001-0067515,"1859049-1,1859008-4"
